Column,2023_value,2024_best_match,Similarity_Score
Permanent Facility Id,1099.0,1099.0,100.0
Permanent Facility Id,1097.0,1097.0,100.0
Permanent Facility Id,85.0,85.0,100.0
Permanent Facility Id,1460.0,1460.0,100.0
Permanent Facility Id,671.0,671.0,100.0
Permanent Facility Id,891.0,891.0,100.0
Permanent Facility Id,1740.0,1740.0,100.0
Permanent Facility Id,1737.0,1737.0,100.0
Permanent Facility Id,1129.0,1129.0,100.0
Permanent Facility Id,815.0,815.0,100.0
Permanent Facility Id,977.0,977.0,100.0
Permanent Facility Id,895.0,895.0,100.0
Permanent Facility Id,676.0,676.0,100.0
Permanent Facility Id,471.0,471.0,100.0
Permanent Facility Id,412.0,412.0,100.0
Permanent Facility Id,339.0,339.0,100.0
Permanent Facility Id,340.0,340.0,100.0
Permanent Facility Id,1158.0,1158.0,100.0
Permanent Facility Id,1028.0,1028.0,100.0
Permanent Facility Id,12.0,12.0,100.0
Permanent Facility Id,111.0,111.0,100.0
Permanent Facility Id,812.0,812.0,100.0
Permanent Facility Id,98.0,98.0,100.0
Permanent Facility Id,518.0,518.0,100.0
Permanent Facility Id,858.0,858.0,100.0
Permanent Facility Id,1450.0,1450.0,100.0
Permanent Facility Id,938.0,938.0,100.0
Permanent Facility Id,550.0,550.0,100.0
Permanent Facility Id,216.0,216.0,100.0
Permanent Facility Id,1098.0,1098.0,100.0
Permanent Facility Id,541.0,541.0,100.0
Permanent Facility Id,552.0,552.0,100.0
Permanent Facility Id,1638.0,1638.0,100.0
Permanent Facility Id,490.0,490.0,100.0
Permanent Facility Id,66.0,66.0,100.0
Permanent Facility Id,330.0,330.0,100.0
Permanent Facility Id,752.0,752.0,100.0
Permanent Facility Id,181.0,181.0,100.0
Permanent Facility Id,727.0,727.0,100.0
Permanent Facility Id,192.0,192.0,100.0
Permanent Facility Id,10355.0,10355.0,100.0
Permanent Facility Id,574.0,574.0,100.0
Permanent Facility Id,1453.0,1453.0,100.0
Permanent Facility Id,103.0,103.0,100.0
Permanent Facility Id,267.0,267.0,100.0
Permanent Facility Id,292.0,292.0,100.0
Permanent Facility Id,583.0,583.0,100.0
Permanent Facility Id,889.0,889.0,100.0
Permanent Facility Id,218.0,218.0,100.0
Permanent Facility Id,213.0,213.0,100.0
Permanent Facility Id,379.0,379.0,100.0
Permanent Facility Id,1305.0,1305.0,100.0
Permanent Facility Id,245.0,245.0,100.0
Permanent Facility Id,818.0,818.0,100.0
Permanent Facility Id,58.0,58.0,100.0
Permanent Facility Id,174.0,174.0,100.0
Permanent Facility Id,829.0,829.0,100.0
Permanent Facility Id,635.0,635.0,100.0
Permanent Facility Id,42.0,42.0,100.0
Permanent Facility Id,128.0,128.0,100.0
Permanent Facility Id,1153.0,1153.0,100.0
Permanent Facility Id,1139.0,1139.0,100.0
Permanent Facility Id,180.0,180.0,100.0
Permanent Facility Id,628.0,628.0,100.0
Permanent Facility Id,989.0,989.0,100.0
Permanent Facility Id,1635.0,1635.0,100.0
Permanent Facility Id,170.0,170.0,100.0
Permanent Facility Id,484.0,484.0,100.0
Permanent Facility Id,3376.0,3376.0,100.0
Permanent Facility Id,1630.0,1630.0,100.0
Permanent Facility Id,527.0,527.0,100.0
Permanent Facility Id,383.0,383.0,100.0
Permanent Facility Id,1318.0,1318.0,100.0
Permanent Facility Id,1133.0,1133.0,100.0
Permanent Facility Id,1738.0,1738.0,100.0
Permanent Facility Id,848.0,848.0,100.0
Permanent Facility Id,1117.0,1117.0,100.0
Permanent Facility Id,913.0,913.0,100.0
Permanent Facility Id,1005.0,1005.0,100.0
Permanent Facility Id,563.0,563.0,100.0
Permanent Facility Id,43.0,43.0,100.0
Permanent Facility Id,411.0,411.0,100.0
Permanent Facility Id,589.0,589.0,100.0
Permanent Facility Id,37.0,37.0,100.0
Permanent Facility Id,3067.0,3067.0,100.0
Permanent Facility Id,1002.0,1002.0,100.0
Permanent Facility Id,324.0,324.0,100.0
Permanent Facility Id,208.0,208.0,100.0
Permanent Facility Id,207.0,207.0,100.0
Permanent Facility Id,718.0,718.0,100.0
Permanent Facility Id,925.0,925.0,100.0
Permanent Facility Id,943.0,943.0,100.0
Permanent Facility Id,551.0,551.0,100.0
Permanent Facility Id,513.0,513.0,100.0
Permanent Facility Id,377.0,377.0,100.0
Permanent Facility Id,367.0,367.0,100.0
Permanent Facility Id,210.0,210.0,100.0
Permanent Facility Id,565.0,756.0,75.0
Permanent Facility Id,325.0,325.0,100.0
Permanent Facility Id,135.0,135.0,100.0
Permanent Facility Id,798.0,798.0,100.0
Permanent Facility Id,303.0,303.0,100.0
Permanent Facility Id,630.0,630.0,100.0
Permanent Facility Id,1176.0,1176.0,100.0
Permanent Facility Id,896.0,896.0,100.0
Permanent Facility Id,1286.0,1286.0,100.0
Permanent Facility Id,1315.0,135.0,88.88888888888889
Permanent Facility Id,1309.0,1309.0,100.0
Permanent Facility Id,9431.0,9431.0,100.0
Permanent Facility Id,831.0,831.0,100.0
Permanent Facility Id,15478.0,15478.0,100.0
Permanent Facility Id,5.0,5.0,100.0
Permanent Facility Id,756.0,756.0,100.0
Permanent Facility Id,15464.0,15464.0,100.0
Permanent Facility Id,15417.0,15417.0,100.0
Permanent Facility Id,15485.0,15485.0,100.0
Facility Name,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,100.0
Facility Name,Montefiore Medical Center-Wakefield Hospital,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,100.0
Facility Name,Montefiore Medical Center - Henry & Lucy Moses Div,MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,100.0
Facility Name,Montefiore Nyack,MONTEFIORE NYACK,100.0
Facility Name,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,100.0
Facility Name,Nicholas H. Noyes Memorial Hospital,NICHOLAS H. NOYES MEMORIAL HOSPITAL,100.0
Facility Name,New York-Presbyterian Hospital - Columbia Presbyterian Center,NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,100.0
Facility Name,New York-Presbyterian/Lower Manhattan Hospital,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,100.0
Facility Name,NewYork-Presbyterian/Hudson Valley Hospital,NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,100.0
Facility Name,New York-Presbyterian Hospital - New York Weill Cornell Center,NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,100.0
Facility Name,NewYork-Presbyterian Brooklyn Methodist Hospital,NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,100.0
Facility Name,NewYork-Presbyterian/Queens,NEWYORK-PRESBYTERIAN/QUEENS,100.0
Facility Name,New York-Presbyterian Hospital - Allen Hospital,NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,100.0
Facility Name,New York-Presbyterian David H. Koch Center,NEW YORK-PRESBYTERIAN DAVID H. KOCH CENTER,100.0
Facility Name,Redacted for Confidentiality,Redacted for Confidentiality,100.0
Facility Name,New York-Presbyterian Westchester,NEW YORK-PRESBYTERIAN WESTCHESTER,100.0
Facility Name,St Luke's Cornwall Hospital/Newburgh,ST LUKE'S CORNWALL HOSPITAL/NEWBURGH,100.0
Facility Name,New York-Presbyterian Westchester Behavioral Health Center,NEW YORK-PRESBYTERIAN WESTCHESTER BEHAVIORAL HEALTH CENTER,100.0
Facility Name,St. James Hospital,ST. JAMES HOSPITAL,100.0
Facility Name,Mount Sinai West,MOUNT SINAI WEST,100.0
Facility Name,North Central Bronx Hospital,NORTH CENTRAL BRONX HOSPITAL,100.0
Facility Name,Woodhull Medical & Mental Health Center,WOODHULL MEDICAL & MENTAL HEALTH CENTER,100.0
Facility Name,NYC Health + Hospitals/South Brooklyn Health,SOUTH BROOKLYN HEALTH,67.74193548387098
Facility Name,Jacobi Medical Center,JACOBI MEDICAL CENTER,100.0
Facility Name,Mount Sinai Morningside,MOUNT SINAI MORNINGSIDE,100.0
Facility Name,Mount Sinai Hospital - Mount Sinai Hospital of Queens,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,100.0
Facility Name,Queens Hospital Center,QUEENS HOSPITAL CENTER,100.0
Facility Name,Elmhurst Hospital Center,ELMHURST HOSPITAL CENTER,100.0
Facility Name,Kings County Hospital Center,KINGS COUNTY HOSPITAL CENTER,100.0
Facility Name,Henry J. Carter Specialty Hospital,HENRY J. CARTER SPECIALTY HOSPITAL,100.0
Facility Name,Metropolitan Hospital Center,METROPOLITAN HOSPITAL CENTER,100.0
Facility Name,Harlem Hospital Center,HARLEM HOSPITAL CENTER,100.0
Facility Name,Mount Sinai Hospital,MOUNT SINAI HOSPITAL,100.0
Facility Name,Lincoln Medical & Mental Health Center,LINCOLN MEDICAL & MENTAL HEALTH CENTER,100.0
Facility Name,Bellevue Hospital Center,BELLEVUE HOSPITAL CENTER,100.0
Facility Name,Winifred Masterson Burke Rehabilitation Hospital,WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,100.0
Facility Name,Montefiore New Rochelle Hospital,MONTEFIORE NEW ROCHELLE HOSPITAL,100.0
Facility Name,Montefiore Mount Vernon Hospital,MONTEFIORE MOUNT VERNON HOSPITAL,100.0
Facility Name,White Plains Hospital Center,WHITE PLAINS HOSPITAL CENTER,100.0
Facility Name,Crouse Hospital - Commonwealth Division,CROUSE HOSPITAL - COMMONWEALTH DIVISION,100.0
Facility Name,Mount Sinai Beth Israel,MOUNT SINAI BETH ISRAEL,100.0
Facility Name,Bertrand Chaffee Hospital,BERTRAND CHAFFEE HOSPITAL,100.0
Facility Name,Mount Sinai Brooklyn,MOUNT SINAI BROOKLYN,100.0
Facility Name,Bon Secours Community Hospital,BON SECOURS COMMUNITY HOSPITAL,100.0
Facility Name,Good Samaritan Hospital of Suffern,GOOD SAMARITAN HOSPITAL OF SUFFERN,100.0
Facility Name,St Anthony Community Hospital,ST ANTHONY COMMUNITY HOSPITAL,100.0
Facility Name,Columbia Memorial Hospital,COLUMBIA MEMORIAL HOSPITAL,100.0
Facility Name,NYU Langone Hospitals,NYU LANGONE HOSPITALS,100.0
Facility Name,NYU Langone Hospital-Brooklyn,NYU LANGONE HOSPITAL-BROOKLYN,100.0
Facility Name,NYU Langone Hospital-Long Island,NYU LANGONE HOSPITAL-LONG ISLAND,100.0
Facility Name,Little Falls Hospital,LITTLE FALLS HOSPITAL,100.0
Facility Name,Mary Imogene Bassett Hospital,MARY IMOGENE BASSETT HOSPITAL,100.0
Facility Name,A.O. Fox Memorial Hospital,A.O. FOX MEMORIAL HOSPITAL,100.0
Facility Name,Cobleskill Regional Hospital,COBLESKILL REGIONAL HOSPITAL,100.0
Facility Name,O'Connor Hospital,O'CONNOR HOSPITAL,100.0
Facility Name,Strong Memorial Hospital,STRONG MEMORIAL HOSPITAL,100.0
Facility Name,Highland Hospital,HIGHLAND HOSPITAL,100.0
Facility Name,F.F. Thompson Hospital,F.F. THOMPSON HOSPITAL,100.0
Facility Name,Garnet Health Medical Center,GARNET HEALTH MEDICAL CENTER,100.0
Facility Name,Garnet Health Medical Center - Catskills,GARNET HEALTH MEDICAL CENTER - CATSKILLS,100.0
Facility Name,Blythedale Children's Hospital,BLYTHEDALE CHILDREN'S HOSPITAL,100.0
Facility Name,NYU Langone Orthopedic Hospital,NYU LANGONE ORTHOPEDIC HOSPITAL,100.0
Facility Name,Long Island Community Hospital at NYU Langone Health,UPSTATE UNIVERSITY HOSPITAL AT COMMUNITY GENERAL,58.00000000000001
Facility Name,Hospital for Special Surgery,HOSPITAL FOR SPECIAL SURGERY,100.0
Facility Name,Helen Hayes Hospital,HELEN HAYES HOSPITAL,100.0
Facility Name,Nassau University Medical Center,NASSAU UNIVERSITY MEDICAL CENTER,100.0
Facility Name,University Hospital of Brooklyn,UNIVERSITY HOSPITAL OF BROOKLYN,100.0
Facility Name,Calvary Hospital,CALVARY HOSPITAL,100.0
Facility Name,SJRH - Dobbs Ferry Pavillion,SJRH - DOBBS FERRY PAVILLION,100.0
Facility Name,Faxton-St Lukes Healthcare St Lukes Division,ST. JOSEPH'S MC-ST. VINCENT'S WESTCHESTER DIVISION,54.54545454545454
Facility Name,St Elizabeth Medical Center,INTERFAITH MEDICAL CENTER,76.92307692307692
Facility Name,Albany Medical Center Hospital,ALBANY MEDICAL CENTER HOSPITAL,100.0
Facility Name,Calvary Hospital Inc,CALVARY HOSPITAL INC,100.0
Facility Name,Massena Hospital,MASSENA HOSPITAL,100.0
Facility Name,Maimonides Midwood Community Hospital,MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,100.0
Facility Name,Crouse Hospital,CROUSE HOSPITAL,100.0
Facility Name,Garnet Health Medical Center - Catskills - G. Hermann Site,GARNET HEALTH MEDICAL CENTER - CATSKILLS - G. HERMANN SITE,100.0
Facility Name,Corning Hospital,CORNING HOSPITAL,100.0
Facility Name,Community Memorial Hospital Inc,COMMUNITY MEMORIAL HOSPITAL INC,100.0
Facility Name,Guthrie Cortland Medical Center,GUTHRIE CORTLAND MEDICAL CENTER,100.0
Facility Name,South Shore University Hospital,SOUTH SHORE UNIVERSITY HOSPITAL,100.0
Facility Name,Oneida Health Hospital,ONEIDA HEALTH HOSPITAL,100.0
Facility Name,Brooklyn Hospital Center - Downtown Campus,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,100.0
Facility Name,BronxCare Hospital Center,BRONXCARE HOSPITAL CENTER,100.0
Facility Name,St. Joseph's Hospital,ST. JOSEPH'S HOSPITAL,100.0
Facility Name,St. Mary's Healthcare - Amsterdam Memorial Campus,ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS,100.0
Facility Name,Ira Davenport Memorial Hospital,IRA DAVENPORT MEMORIAL HOSPITAL,100.0
Facility Name,Arnot Ogden Medical Center,ARNOT OGDEN MEDICAL CENTER,100.0
Facility Name,Clifton-Fine Hospital,CLIFTON-FINE HOSPITAL,100.0
Facility Name,Flushing Hospital Medical Center,FLUSHING HOSPITAL MEDICAL CENTER,100.0
Facility Name,Jamaica Hospital Medical Center,JAMAICA HOSPITAL MEDICAL CENTER,100.0
Facility Name,SJRH - Park Care Pavilion,SJRH - PARK CARE PAVILION,100.0
Facility Name,SJRH - St Johns Division,SJRH - ST JOHNS DIVISION,100.0
Facility Name,Auburn Community Hospital,AUBURN COMMUNITY HOSPITAL,100.0
Facility Name,New York Eye and Ear Infirmary of Mount Sinai,NEW YORK EYE AND EAR INFIRMARY OF MOUNT SINAI,100.0
Facility Name,Geneva General Hospital,GENEVA GENERAL HOSPITAL,100.0
Facility Name,Stony Brook Eastern Long Island Hospital,STONY BROOK EASTERN LONG ISLAND HOSPITAL,100.0
Facility Name,Staten Island University Hosp-North,STATEN ISLAND UNIVERSITY HOSP-NORTH,100.0
Facility Name,Staten Island University Hospital Prince's Bay,STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,100.0
Facility Name,Phelps Hospital,PHELPS HOSPITAL,100.0
Facility Name,Canton-Potsdam Hospital,CANTON-POTSDAM HOSPITAL,100.0
Facility Name,Cayuga Medical Center at Ithaca,CAYUGA MEDICAL CENTER AT ITHACA,100.0
Facility Name,John T Mather Memorial Hospital of Port Jefferson New York Inc,JOHN T MATHER MEMORIAL HOSPITAL OF PORT JEFFERSON NEW YORK INC,100.0
Facility Name,Clifton Springs Hospital and Clinic,CLIFTON SPRINGS HOSPITAL AND CLINIC,100.0
Facility Name,The Unity Hospital of Rochester,THE UNITY HOSPITAL OF ROCHESTER,100.0
Facility Name,Unity Specialty Hospital,UNITY SPECIALTY HOSPITAL,100.0
Facility Name,United Memorial Medical Center North Street Campus,UNITED MEMORIAL MEDICAL CENTER NORTH STREET CAMPUS,100.0
Facility Name,United Memorial Medical Center Bank Street Campus,UNITED MEMORIAL MEDICAL CENTER BANK STREET CAMPUS,100.0
Facility Name,Soldiers and Sailors Memorial Hospital of Yates County,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES COUNTY,100.0
Facility Name,Newark-Wayne Community Hospital,NEWARK-WAYNE COMMUNITY HOSPITAL,100.0
Facility Name,Lakeview Center for Mental Health and Wellness,LAKEVIEW CENTER FOR MENTAL HEALTH AND WELLNESS,100.0
Facility Name,Westfield Memorial Hospital Inc,WESTFIELD MEMORIAL HOSPITAL INC,100.0
Facility Name,Gouverneur Hospital,GOUVERNEUR HOSPITAL,100.0
Facility Name,"Brooks-TLC Hospital System, Inc.","BROOKS-TLC HOSPITAL SYSTEM, INC.",100.0
Facility Name,Long Island Jewish Valley Stream,LONG ISLAND JEWISH VALLEY STREAM,100.0
Facility Name,Schuyler Hospital,SCHUYLER HOSPITAL,100.0
Facility Name,Lenox Hill Hospital,LENOX HILL HOSPITAL,100.0
Facility Name,Peconic Bay Medical Center,PECONIC BAY MEDICAL CENTER,100.0
Facility Name,Syosset Hospital,SYOSSET HOSPITAL,100.0
Facility Name,Roswell Park Cancer Institute,ROSWELL PARK CANCER INSTITUTE,100.0
Facility Name,St. Joseph's Medical Center,ST. JOSEPH'S MEDICAL CENTER,100.0
Facility Name,North Shore University Hospital,NORTH SHORE UNIVERSITY HOSPITAL,100.0
Facility Name,Plainview Hospital,PLAINVIEW HOSPITAL,100.0
Facility Name,Long Island Jewish Forest Hills,LONG ISLAND JEWISH FOREST HILLS,100.0
Facility Name,Glen Cove Hospital,GLEN COVE HOSPITAL,100.0
Facility Name,Olean General Hospital,OLEAN GENERAL HOSPITAL,100.0
Facility Name,Nathan Littauer Hospital,NATHAN LITTAUER HOSPITAL,100.0
Facility Name,Putnam Hospital,PUTNAM HOSPITAL,100.0
Facility Name,Vassar Brothers Medical Center,VASSAR BROTHERS MEDICAL CENTER,100.0
Facility Name,Oswego Hospital,OSWEGO HOSPITAL,100.0
Facility Name,Northern Dutchess Hospital,NORTHERN DUTCHESS HOSPITAL,100.0
Facility Name,David H. Koch Center For Cancer Care,DAVID H. KOCH CENTER FOR CANCER CARE,100.0
Facility Name,Niagara Falls Memorial Medical Center,NIAGARA FALLS MEMORIAL MEDICAL CENTER,100.0
Facility Name,Memorial Hospital for Cancer and Allied Diseases,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,100.0
Facility Name,UPMC Chautauqua at WCA,UPMC CHAUTAUQUA AT WCA,100.0
Facility Name,Kenmore Mercy Hospital,KENMORE MERCY HOSPITAL,100.0
Facility Name,Sisters of Charity Hospital - St. Joseph Campus,SISTERS OF CHARITY HOSPITAL - ST. JOSEPH CAMPUS,100.0
Facility Name,Mount St. Mary's Hospital and Health Center,MOUNT ST. MARY'S HOSPITAL AND HEALTH CENTER,100.0
Facility Name,Stony Brook Southampton Hospital,STONY BROOK SOUTHAMPTON HOSPITAL,100.0
Facility Name,Sisters of Charity Hospital,SISTERS OF CHARITY HOSPITAL,100.0
Facility Name,Mercy Hospital of Buffalo,MERCY HOSPITAL OF BUFFALO,100.0
Facility Name,Carthage Area Hospital Inc,CARTHAGE AREA HOSPITAL INC,100.0
Facility Name,Maimonides Medical Center,MAIMONIDES MEDICAL CENTER,100.0
Facility Name,Stony Brook University Hospital,STONY BROOK UNIVERSITY HOSPITAL,100.0
Facility Name,Saratoga Hospital,SARATOGA HOSPITAL,100.0
Facility Name,United Health Services Hospitals Inc. - Wilson Medical Center,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,100.0
Facility Name,Delaware Valley Hospital Inc,DELAWARE VALLEY HOSPITAL INC,100.0
Facility Name,Ellis Hospital,ELLIS HOSPITAL,100.0
Facility Name,University Hospital SUNY Health Science Center,UNIVERSITY HOSPITAL SUNY HEALTH SCIENCE CENTER,100.0
Facility Name,United Health Services Hospitals Inc. - Binghamton General Hospital,UNITED HEALTH SERVICES HOSPITALS INC. - BINGHAMTON GENERAL HOSPITAL,100.0
Facility Name,Chenango Memorial Hospital Inc,CHENANGO MEMORIAL HOSPITAL INC,100.0
Facility Name,Wyoming County Community Hospital,WYOMING COUNTY COMMUNITY HOSPITAL,100.0
Facility Name,Westchester Medical Center,WESTCHESTER MEDICAL CENTER,100.0
Facility Name,Mid-Hudson Valley Division of Westchester Medical Center,MID-HUDSON VALLEY DIVISION OF WESTCHESTER MEDICAL CENTER,100.0
Facility Name,UPSTATE University Hospital at Community General,UPSTATE UNIVERSITY HOSPITAL AT COMMUNITY GENERAL,100.0
Facility Name,HealthAlliance Hospital Mary's Avenue Campus,HEALTHALLIANCE HOSPITAL MARY'S AVENUE CAMPUS,100.0
